"1",1,891571.873257722,3186614.0424026
"2",1,895011.187608458,3188761.39493588
"3",1,898379.374789977,3191018.37919008
"4",1,901672.967840849,3193382.30740981
"5",1,904888.711738495,3195850.22500869
"6",1,908023.57797481,3198418.92765636
"7",1,911074.777085686,3201084.98026536
"8",1,914039.769017915,3203844.73762197
"9",1,916916.271254489,3206694.36638326
"10",1,919702.264657576,3209629.86814732
"11",1,922395.997026311,3212647.10329506
"12",1,924995.984403095,3215741.81529974
"13",1,927501.010196353,3218909.6552051
"14",1,929910.122218963,3222146.2059831
"15",1,932222.627769112,3225447.0064982
"16",1,934438.08690376,3228807.57482534
"17",1,936556.304073805,3232223.4306932
"18",1,938577.318304348,3235690.11685143
"19",1,940501.392113116,3239203.21918961
"20",1,942328.999365301,3242758.38546631
"21",1,944060.81226401,3246351.34253703
"22",1,945697.687672633,3249977.91200012
"23",1,947240.652959128,3253634.0242089
"24",1,948690.891542963,3257315.73062542
"25",1,950049.728313814,3261019.21451674
"26",1,951318.615077588,3264740.8000169
"27",1,952499.116170449,3268476.95959836
"28",1,953592.894365752,3272224.32001299
"29",1,954601.697182594,3275979.66677771
"30",1,955527.343688481,3279739.94729058
"31",1,956371.711872699,3283502.2726721
"32",1,957136.72665169,3287263.91843254
"33",1,957824.348553291,3291022.32406957
"34",1,958436.563113288,3294775.09170237
"35",1,958975.371005421,3298519.98384786
"36",1,959442.77891499,3302254.92044298
"37",1,959840.791156386,3305977.97521363
"38",1,960171.402026385,3309687.3714868
"39",1,960436.58887779,3313381.47753689
"40",1,960638.305891899,3317058.80155197
"41",1,960778.478523367,3320717.98629904
"42",1,960858.998587104,3324357.80356119
"43",1,960881.71995389,3327977.14841285
"44",1,960848.454819306,3331575.03339289
"45",1,960760.970509225,3335150.58262872
"46",1,960620.986784427,3338703.02595846
"47",1,960430.173606817,3342231.69309224
"48",1,960190.14933006,3345736.00784823
"49",1,959902.479278249,3349215.48249336
"50",1,959568.674677322,3352669.71221437
"51",1,959190.19190527,3356098.3697399
"52",1,958768.432028764,3359501.20013042
"53",1,958304.7405955,3362878.01574934
"54",1,957800.407653348,3366228.69142476
"55",1,957256.667969255,3369553.15980924
"56",1,956674.701422693,3372851.40694144
"57",1,956055.633550309,3376123.46801208
"58",1,955400.536220273,3379369.42333406
"59",1,954710.42841659,3382589.39451526
"60",1,953986.277115347,3385783.54083109
"61",1,953228.99823654,3388952.05579243
"62",1,952439.457656655,3392095.16390395
"63",1,951618.472268668,3395213.11760665
"64",1,950766.811077514,3398306.19439816
"65",1,949885.196320364,3401374.69412353
"66",1,948974.304602246,3404418.93642915
"67",1,948034.768038673,3407439.25837198
"68",1,947067.175397961,3410436.01217616
